截止日期	产品名称	产品代码	Wind代码	资产名称	持仓比例	数量	市值(本币)	最新净值	最新份额
2026-04-23	常春藤优选3号	80PF11238	002371.SZ	北方华创	0.0695	172657	10425000	1.22	122950820
2026-04-23	常春藤优选3号	80PF11238	600036.SH	招商银行	0.1137	491453	17055000	1.22	122950820
2026-04-23	常春藤优选3号	80PF11238	600276.SH	恒瑞医药	0.0221	129204	3315000	1.22	122950820
2026-04-23	常春藤优选3号	80PF11238	300274.SZ	阳光电源	0.0475	255383	7125000	1.22	122950820
2026-04-23	常春藤优选3号	80PF11238	002714.SZ	牧原股份	0.0544	317286	8160000	1.22	122950820
2026-04-23	常春藤优选3号	80PF11238	002594.SZ	比亚迪	0.0469	15068	7035000	1.22	122950820
2026-04-23	常春藤优选3号	80PF11238	601288.SH	农业银行	0.1168	707879	17520000	1.22	122950820
2026-04-23	常春藤优选3号	80PF11238	1024.HK	快手	0.0461	20183	6915000	1.22	122950820
2026-04-23	常春藤优选3号	80PF11238	601012.SH	隆基绿能	0.0817	68057	12255000	1.22	122950820
2026-04-23	常春藤优选3号	80PF11238	1211.HK	比亚迪股份	0.0694	23768	10410000	1.22	122950820
2026-04-23	常春藤优选3号	80PF11238	600519.SH	贵州茅台	0.117	46677	17550000	1.22	122950820
2026-04-23	常春藤优选3号	80PF11238	9618.HK	京东	0.1115	136888	16755000	1.22	122950820
2026-04-23	常春藤优选3号	80PF11238	GOOOG.US	谷歌	0.0237	8867	3550000	1.22	122950820
2026-04-23	常春藤优选3号	80PF11238	600900.SH	长江电力	0.0254	18222	3810000	1.22	122950820
2026-04-23	常春藤优选3号	80PF11238	000333.SZ	美的集团	0.0256	8301	3840000	1.22	122950820
2026-04-23	常春藤优选3号	80PF11238	300122.SZ	智飞生物	0.095	68247	14250000	1.22	122950820
2026-04-23	常春藤优选3号	80PF11238	002415.SZ	海康威视	0.082	33347	12300000	1.22	122950820
2026-04-23	常春藤优选3号	80PF11238	MSFT.US	微软	0.0335	59964	5025000	1.22	122950820
2026-04-23	常春藤优选3号	80PF11238	002475.SZ	立讯精密	0.0856	66063	12840000	1.22	122950820
2026-04-23	常春藤优选3号	80PF11238	688256.SH	寒武纪	0.0095	5988	1425000	1.22	122950820
2026-04-23	常春藤优选3号	80PF11238	600309.SH	万华化学	0.028	9138	4200000	1.22	122950820
2026-04-23	常春藤优选3号	80PF11238	688981.SH	中芯国际	0.0452	16490	6780000	1.22	122950820
2026-04-23	常春藤优选3号	80PF11238	TSLA.US	特斯拉	0.1052	138801	15780000	1.22	122950820
2026-04-23	常春藤优选3号	80PF11238	300059.SZ	东方财富	0.0809	60003	12135000	1.22	122950820
2026-04-23	常春藤优选3号	80PF11238	AAPL.US	苹果	0.037	141006	5550000	1.22	122950820
2026-04-23	常春藤优选3号	80PF11238	AMZN.US	亚马逊	0.0939	78796	14085000	1.22	122950820
2026-04-23	常春藤优选3号	80PF11238	688041.SH	海光信息	0.0636	27747	9540000	1.22	122950820
2026-04-23	常春藤优选3号	80PF11238	688008.SH	澜起科技	0.102	90575	15300000	1.22	122950820
2026-04-23	常春藤优选3号	80PF11238	600028.SH	中国石化	0.0082	2801	1230000	1.22	122950820
2026-04-23	常春藤优选3号	80PF11238	03690.HK	美团	0.035	17995	5275000	1.22	122950820
2026-04-23	常春藤优选3号	80PF11238	688111.SH	金山办公	0.1181	739975	17150000	1.22	122950820
2026-04-23	常春藤优选3号	80PF11238	00700.HK	腾讯控股	0.0736	62685	11040000	1.22	122950820
2026-04-23	常春藤优选3号	80PF11238	000858.SZ	五粮液	0.0954	64748	14310000	1.22	122950820
2026-04-23	常春藤优选3号	80PF11238	601939.SH	建设银行	0.1182	284865	17730000	1.22	122950820
2026-04-23	常春藤优选3号	80PF11238	000568.SZ	泸州老窖	0.1084	164093	16260000	1.22	122950820
2026-04-23	常春藤优选3号	80PF11238	600585.SH	海螺水泥	0.0101	6860	1510000	1.22	122950820
2026-04-23	常春藤优选3号	80PF11238	601398.SH	工商银行	0.0648	24046	9720000	1.22	122950820
2026-04-23	常春藤优选3号	80PF11238	NVDA.US	英伟达	0.084	26784	12600000	1.22	122950820
2026-04-23	常春藤优选3号	80PF11238	601166.SH	兴业银行	0.0898	131376	13470000	1.22	122950820
2026-04-23	常春藤优选3号	80PF11238	601318.SH	中国平安	0.0546	17253	8190000	1.22	122950820
2026-04-23	常春藤优选3号	80PF11238	300750.SZ	宁德时代	0.1109	53069	16635000	1.22	122950820
2026-04-23	常春藤优选3号	80PF11238	688981.SH	中微公司	0.0813	182861	12195000	1.22	122950820
2026-04-23	常春藤优选3号	80PF11238	09988.HK	阿里巴巴	0.1085	63567	16275000	1.22	122950820
2026-04-23	常春藤优选3号	80PF11238	002304.SZ	洋河股份	0.0817	73621	12255000	1.22	122950820
2026-04-23	常春藤优选3号	80PF11238	600000.SH	浦发银行	0.0852	45736	12780000	1.22	122950820
2026-04-23	常春藤优选3号	80PF11238	600887.SH	伊利股份	0.0271	12166	4065000	1.22	122950820
2026-04-23	常春藤优选3号	80PF11238	601888.SH	中国中免	0.0486	19423	7290000	1.22	122950820
