截止日期	产品名称	产品代码	Wind代码	资产名称	持仓比例	数量	市值(本币)	最新净值	最新份额
2026-04-23	景顺灵活1号	80PF11234	002415.SZ	海康威视	0.1169	139767	268870000	1.1	209090909.1
2026-04-23	景顺灵活1号	80PF11234	000858.SZ	五粮液	0.0685	37913	157550000	1.1	209090909.1
2026-04-23	景顺灵活1号	80PF11234	600309.SH	万华化学	0.0761	40559	175030000	1.1	209090909.1
2026-04-23	景顺灵活1号	80PF11234	600276.SH	恒瑞医药	0.0714	46421	164220000	1.1	209090909.1
2026-04-23	景顺灵活1号	80PF11234	002304.SZ	洋河股份	0.0103	20109	23690000	1.1	209090909.1
2026-04-23	景顺灵活1号	80PF11234	000333.SZ	美的集团	0.0383	197955	88090000	1.1	209090909.1
2026-04-23	景顺灵活1号	80PF11234	600900.SH	长江电力	0.0318	132982	73140000	1.1	209090909.1
2026-04-23	景顺灵活1号	80PF11234	1024.HK	快手	0.037	26622	85100000	1.1	209090909.1
2026-04-23	景顺灵活1号	80PF11234	601318.SH	中国平安	0.047	57427	108100000	1.1	209090909.1
2026-04-23	景顺灵活1号	80PF11234	NVDA.US	英伟达	0.0291	48801	66930000	1.1	209090909.1
2026-04-23	景顺灵活1号	80PF11234	601939.SH	建设银行	0.1127	79566	259210000	1.1	209090909.1
2026-04-23	景顺灵活1号	80PF11234	300750.SZ	宁德时代	0.0751	192543	172730000	1.1	209090909.1
2026-04-23	景顺灵活1号	80PF11234	688981.SH	中芯国际	0.0888	237820	204240000	1.1	209090909.1
2026-04-23	景顺灵活1号	80PF11234	GOOG.US	谷歌	0.0486	225920	111780000	1.1	209090909.1
2026-04-23	景顺灵活1号	80PF11234	601166.SH	兴业银行	0.0786	64406	180780000	1.1	209090909.1
2026-04-23	景顺灵活1号	80PF11234	688012.SH	中微公司	0.0837	45596	192510000	1.1	209090909.1
2026-04-23	景顺灵活1号	80PF11234	9618.HK	京东	0.0942	183021	216660000	1.1	209090909.1
2026-04-23	景顺灵活1号	80PF11234	688111.SH	金山办公	0.0087	12417	20010000	1.1	209090909.1
2026-04-23	景顺灵活1号	80PF11234	MSFT.US	微软	0.0358	75238	82340000	1.1	209090909.1
2026-04-23	景顺灵活1号	80PF11234	002371.SZ	北方华创	0.1134	59439	260820000	1.1	209090909.1
2026-04-23	景顺灵活1号	80PF11234	600585.SH	海螺水泥	0.0412	28764	94760000	1.1	209090909.1
2026-04-23	景顺灵活1号	80PF11234	601288.SH	农业银行	0.0505	25377	116150000	1.1	209090909.1
2026-04-23	景顺灵活1号	80PF11234	00700.HK	腾讯控股	0.0578	97664	132940000	1.1	209090909.1
2026-04-23	景顺灵活1号	80PF11234	1211.HK	比亚迪股份	0.0334	27156	76820000	1.1	209090909.1
2026-04-23	景顺灵活1号	80PF11234	688008.SH	澜起科技	0.0352	27503	80960000	1.1	209090909.1
2026-04-23	景顺灵活1号	80PF11234	03690.HK	美团	0.1082	122773	248860000	1.1	209090909.1
2026-04-23	景顺灵活1号	80PF11234	002714.SZ	牧原股份	0.0302	13926	69460000	1.1	209090909.1
2026-04-23	景顺灵活1号	80PF11234	688041.SH	海光信息	0.0636	29295	146280000	1.1	209090909.1
2026-04-23	景顺灵活1号	80PF11234	600519.SH	贵州茅台	0.104	40351	239230000	1.1	209090909.1
2026-04-23	景顺灵活1号	80PF11234	AMZN.US	亚马逊	0.0772	44716	177560000	1.1	209090909.1
2026-04-23	景顺灵活1号	80PF11234	601857.SH	中国石油	0.0535	337586	123050000	1.1	209090909.1
2026-04-23	景顺灵活1号	80PF11234	002594.SZ	比亚迪	0.0489	22581	112470000	1.1	209090909.1
2026-04-23	景顺灵活1号	80PF11234	TSLA.US	特斯拉	0.0658	31160	151340000	1.1	209090909.1
2026-04-23	景顺灵活1号	80PF11234	AAPL.US	苹果	0.104	223970	239200000	1.1	209090909.1
2026-04-23	景顺灵活1号	80PF11234	002475.SZ	立讯精密	0.0879	59036	202170000	1.1	209090909.1
2026-04-23	景顺灵活1号	80PF11234	600887.SH	伊利股份	0.0668	112081	153640000	1.1	209090909.1
2026-04-23	景顺灵活1号	80PF11234	000568.SZ	泸州老窖	0.0787	300581	181010000	1.1	209090909.1
2026-04-23	景顺灵活1号	80PF11234	09988.HK	阿里巴巴	0.055	55098	126500000	1.1	209090909.1
2026-04-23	景顺灵活1号	80PF11234	300122.SZ	智飞生物	0.1147	60155	263810000	1.1	209090909.1
2026-04-23	景顺灵活1号	80PF11234	600000.SH	浦发银行	0.0353	32118	81190000	1.1	209090909.1
2026-04-23	景顺灵活1号	80PF11234	300059.SZ	东方财富	0.0255	12841	58865000	1.1	209090909.1
2026-04-23	景顺灵活1号	80PF11234	601398.SH	工商银行	0.1051	158273	241730000	1.1	209090909.1
2026-04-23	景顺灵活1号	80PF11234	688256.SH	寒武纪	0.0785	58919	180550000	1.1	209090909.1
2026-04-23	景顺灵活1号	80PF11234	600036.SH	招商银行	0.0226	13592	51980000	1.1	209090909.1
2026-04-23	景顺灵活1号	80PF11234	601888.SH	中国中免	0.067	39470	154180000	1.1	209090909.1
2026-04-23	景顺灵活1号	80PF11234	601012.SH	隆基绿能	0.066	287500	151000000	1.1	209090909.1
2026-04-23	景顺灵活1号	80PF11234	300274.SZ	阳光电源	0.0423	664549	97290000	1.1	209090909.1
2026-04-23	景顺灵活1号	80PF11234	600028.SH	中国石化	0.1118	58445	257140000	1.1	209090909.1
